Brand,Model,Price,Currency,Year,Engine Size,Horsepower,Fuel Type,Distance,Color,Body Type,ProdYear,Transmission,Drive Type,New,Seats,Owners,Condition,Market,City
Kia,Sorento,22900,AZN,2011,2.4 L,175,Benzin,181 000 km,Qara,"Offroader / SUV, 5 qapı",2011,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Changan,Uni-K,35000,AZN,2022,2.0 L,233,Benzin,27 000 km,Mavi,"Offroader / SUV, 5 qapı",2022,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Mercedes,Sprinter 313,29999,AZN,2007,2.2 L,129,Dizel,320 000 km,Ağ,Mikroavtobus,2007,Mexaniki,Arxa,Xeyr,8+,1,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Uni-Z,20800,USD,2025,1.5 L,215,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Uni-Z,20800,USD,2025,1.5 L,215,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Deepal S7,25000,USD,2024,1.5 L,235,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2024,Reduktor,Arxa,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Deepal S7,25000,USD,2024,1.5 L,238,Plug-in Hibrid,0 km,Tünd qırmızı,"Offroader / SUV, 5 qapı",2024,Reduktor,Arxa,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Mercedes,E 220 d,32000,AZN,2014,2.2 L,170,Dizel,207 100 km,Gümüşü,Sedan,2014,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Changan,Qiyuan Q05,29900,AZN,2025,1.5 L,215,Plug-in Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Tofas,Sahin,5800,AZN,2004,1.6 L,92,Benzin,93 100 km,Boz,Sedan,2004,Mexaniki,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Mercedes,CLA 250,30000,USD,2019,2.0 L,211,Benzin,44 000 km,Ağ,Sedan,2019,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Mercedes,E 220 d,33900,USD,2018,2.0 L,194,Dizel,123 000 km,Qara,Sedan,2018,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BYD,Qin Plus,11600,USD,2024,1.5 L,290,Plug-in Hibrid,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,1,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Toyota,Land Cruiser,26800,USD,2010,4.0 L,243,Benzin,155 000 km,Ağ,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,1,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Toyota,Corolla Cross,32500,AZN,2024,2.0 L,171,Benzin,3 585 km,Ağ,"Offroader / SUV, 5 qapı",2024,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Hyundai,Elantra,31500,AZN,2024,1.5 L,115,Benzin,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Mercedes,Atego 1324,38000,AZN,2007,6.4 L,170,Dizel,750 000 km,Ağ,Yük maşını,2007,Mexaniki,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Tərtər
Porsche,Cayenne,37000,AZN,2013,3.6 L,300,Benzin,110 000 km,Ağ,"Offroader / SUV, 5 qapı",2013,Avtomat,Tam,Xeyr,6,2,"Vuruğu yoxdur, rənglənib",Rəsmi diler,Bakı
Mercedes,GL 500 4MATIC,25500,USD,2013,4.7 L,435,Benzin,142 000 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2013,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BMW,520,19250,USD,2017,2.0 L,190,Dizel,237 000 km,Qara,"Universal, 5 qapı",2017,Avtomat,Arxa,Xeyr,5,0,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Ford,Transit,16500,AZN,2002,2.0 L,100,Dizel,303 456 km,Gümüşü,Minivan,2002,Mexaniki,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Mercedes,300 D,4200,AZN,1989,3.0 L,190,Dizel,566 228 km,Boz,Sedan,1989,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Balakən
Toyota,Corolla Fielder,21650,AZN,2019,1.5 L,74,Hibrid,140 500 km,Ağ,"Universal, 5 qapı",2019,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,C 180,12800,AZN,1998,1.8 L,122,Benzin,318 000 km,Qara,Sedan,1998,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,İsmayıllı
Mercedes,C 220,8800,AZN,1996,2.2 L,150,Benzin,300 000 km,Gümüşü,Sedan,1996,Avtomat,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Suzuki,Grand Vitara,10400,AZN,2008,2.4 L,169,Benzin,247 000 km,Gümüşü,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,Atego 1218,40000,AZN,2007,4.3 L,177,Dizel,726 000 km,Açıq yaşıl,Yük maşını,2007,Mexaniki,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Tərtər
BYD,Seal 06,27000,AZN,2024,1.5 L,290,Plug-in Hibrid,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Hyundai,Sonata,52900,AZN,2024,2.0 L,195,Hibrid,9 000 km,Qara,Sedan,2024,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Toyota,Corolla Cross,18300,USD,2024,2.0 L,197,Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
JMC,D77,85000,AZN,2024,2.9 L,155,Dizel,0 km,Qəhvəyi,Avtobus,2024,Mexaniki,Arxa,Bəli,,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Sonata,36600,AZN,2019,1.6 L,183,Benzin,86 000 km,Boz,Sedan,2019,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Camry,16300,AZN,2008,2.4 L,167,Benzin,235 232 km,Ağ,Sedan,2008,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Mingəçevir
Lexus,LS 600h,29000,USD,2013,5.0 L,394,Hibrid,197 000 km,Qara,Sedan,2013,Variator,Tam,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
LADA,(VAZ) Granta,15900,AZN,2021,1.6 L,98,Benzin,95 000 km,Yaş Asfalt,Sedan,2021,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rusiya,Bakı
BMW,530e,46444,USD,2022,2.0 L,292,Plug-in Hibrid,46 000 km,Qara,Sedan,2022,Avtomat,Arxa,Xeyr,,1,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Prius,11400,AZN,2007,1.5 L,76,Hibrid,400 727 km,Qırmızı,Liftbek,2007,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
BYD,Seal 05,22700,AZN,2025,1.5 L,290,Plug-in Hibrid,0 km,Ağ,Sedan,2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Chevrolet,Equinox,22400,AZN,2017,1.5 L,170,Benzin,164 237 km,Göy,"Offroader / SUV, 5 qapı",2017,Avtomat,Tam,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Mercedes,E 220 d,33900,USD,2018,2.0 L,194,Dizel,123 000 km,Qara,Sedan,2018,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BYD,Qin Plus,11600,USD,2024,1.5 L,290,Plug-in Hibrid,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,1,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Toyota,Land Cruiser,26800,USD,2010,4.0 L,243,Benzin,155 000 km,Ağ,"Offroader / SUV, 5 qapı",2010,Avtomat,Tam,Xeyr,7,1,"Vuruğu yoxdur, rənglənməyib",Dubay,Bakı
Toyota,Corolla Cross,32500,AZN,2024,2.0 L,171,Benzin,3 585 km,Ağ,"Offroader / SUV, 5 qapı",2024,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Hyundai,Elantra,31500,AZN,2024,1.5 L,115,Benzin,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Mercedes,Atego 1324,38000,AZN,2007,6.4 L,170,Dizel,750 000 km,Ağ,Yük maşını,2007,Mexaniki,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Tərtər
Porsche,Cayenne,37000,AZN,2013,3.6 L,300,Benzin,110 000 km,Ağ,"Offroader / SUV, 5 qapı",2013,Avtomat,Tam,Xeyr,6,2,"Vuruğu yoxdur, rənglənib",Rəsmi diler,Bakı
Mercedes,GL 500 4MATIC,25500,USD,2013,4.7 L,435,Benzin,142 000 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2013,Avtomat,Tam,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BMW,520,19250,USD,2017,2.0 L,190,Dizel,237 000 km,Qara,"Universal, 5 qapı",2017,Avtomat,Arxa,Xeyr,5,0,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Ford,Transit,16500,AZN,2002,2.0 L,100,Dizel,303 456 km,Gümüşü,Minivan,2002,Mexaniki,Ön,Xeyr,7,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Mercedes,300 D,4200,AZN,1989,3.0 L,190,Dizel,566 228 km,Boz,Sedan,1989,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Balakən
Toyota,Corolla Fielder,21650,AZN,2019,1.5 L,74,Hibrid,140 500 km,Ağ,"Universal, 5 qapı",2019,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,C 180,12800,AZN,1998,1.8 L,122,Benzin,318 000 km,Qara,Sedan,1998,Avtomat,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,İsmayıllı
Mercedes,C 220,8800,AZN,1996,2.2 L,150,Benzin,300 000 km,Gümüşü,Sedan,1996,Avtomat,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Suzuki,Grand Vitara,10400,AZN,2008,2.4 L,169,Benzin,247 000 km,Gümüşü,"Offroader / SUV, 5 qapı",2008,Avtomat,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,Atego 1218,40000,AZN,2007,4.3 L,177,Dizel,726 000 km,Açıq yaşıl,Yük maşını,2007,Mexaniki,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Tərtər
Mercedes,E 300,43000,USD,2019,2.0 L,245,Benzin,45 000 km,Yaş Asfalt,Sedan,2019,Avtomat,Arxa,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
LADA,(VAZ) 2106,3700,AZN,1990,1.6 L,75,Benzin,90 000 km,Ağ,Sedan,1990,Mexaniki,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Yardımlı
Toyota,Frontlander,38499,AZN,2025,2.0 L,194,Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Hyundai,Accent,11500,AZN,2009,1.6 L,112,Benzin,319 000 km,Gümüşü,Sedan,2009,Avtomat,Ön,Xeyr,5,3,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Sumqayıt
Nissan,Juke,15900,AZN,2011,1.6 L,177,Benzin,159 000 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2011,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Mercedes,A 170,11300,AZN,2011,1.7 L,116,Benzin,109 000 km,Ağ,"Hetçbek, 5 qapı",2011,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Accent,18900,AZN,2016,1.4 L,107,Benzin,72 333 km,Ağ,Sedan,2016,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Hyundai,Santa Fe,17900,AZN,2009,2.7 L,189,Benzin,230 000 km,Tünd qırmızı,"Offroader / SUV, 5 qapı",2009,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Chevrolet,Cruze,15700,AZN,2018,1.4 L,140,Benzin,192 000 km,Boz,Sedan,2018,Avtomat,Ön,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Sumqayıt
Geely,Tugella S,59900,AZN,2024,2.0 L,238,Benzin,0 km,Ağ,"Offroader / SUV, 5 qapı",2024,Avtomat,Tam,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Mercedes,E 300 e,78000,EUR,2024,2.0 L,320,Plug-in Hibrid,0 km,Gümüşü,Sedan,2024,Avtomat,Arxa,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BYD,Qin Plus,23499,AZN,2025,1.5 L,290,Plug-in Hibrid,0 km,Yaş Asfalt,Sedan,2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
BMW,520,8900,AZN,1993,2.0 L,150,Benzin,232 323 km,Boz,Sedan,1993,Mexaniki,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Changan,Qiyuan Q07,43500,AZN,2025,1.5 L,215,Plug-in Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Land,Rover Discovery,37500,USD,2017,3.0 L,340,Benzin,120 000 km,Ağ,"Offroader / SUV, 5 qapı",2017,Avtomat,Tam,Xeyr,7,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Chevrolet,Cruze,14000,AZN,2015,1.4 L,141,Benzin,139 000 km,Qırmızı,Sedan,2015,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
BMW,330,21300,USD,2018,2.0 L,252,Benzin,111 200 km,Qara,Sedan,2018,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Toyota,Land Cruiser,57000,USD,2015,4.6 L,309,Benzin,75 000 km,Qara,"Offroader / SUV, 5 qapı",2015,Avtomat,Tam,Xeyr,7,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Elantra,16900,AZN,2013,1.8 L,150,Benzin,189 233 km,Göy,Sedan,2013,Avtomat,Ön,Xeyr,5,2,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Chevrolet,Cruze,12000,AZN,2013,1.4 L,140,Benzin,230 000 km,Qara,Sedan,2013,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Mercedes,Atego 1218,40000,AZN,2007,4.3 L,177,Dizel,726 000 km,Açıq yaşıl,Yük maşını,2007,Mexaniki,Arxa,Xeyr,,0,"Vuruğu yoxdur, rənglənməyib",,Tərtər
Mercedes,E 300,43000,USD,2019,2.0 L,245,Benzin,45 000 km,Yaş Asfalt,Sedan,2019,Avtomat,Arxa,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
LADA,(VAZ) 2106,3700,AZN,1990,1.6 L,75,Benzin,90 000 km,Ağ,Sedan,1990,Mexaniki,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Yardımlı
Toyota,Frontlander,38499,AZN,2025,2.0 L,194,Hibrid,0 km,Qara,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Hyundai,Accent,11500,AZN,2009,1.6 L,112,Benzin,319 000 km,Gümüşü,Sedan,2009,Avtomat,Ön,Xeyr,5,3,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Sumqayıt
Nissan,Juke,15900,AZN,2011,1.6 L,177,Benzin,159 000 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2011,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Mercedes,A 170,11300,AZN,2011,1.7 L,116,Benzin,109 000 km,Ağ,"Hetçbek, 5 qapı",2011,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Accent,18900,AZN,2016,1.4 L,107,Benzin,72 333 km,Ağ,Sedan,2016,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Hyundai,Santa Fe,17900,AZN,2009,2.7 L,189,Benzin,230 000 km,Tünd qırmızı,"Offroader / SUV, 5 qapı",2009,Avtomat,Tam,Xeyr,7,0,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Porsche,Cayenne GTS,25500,USD,2014,4.8 L,420,Benzin,91 000 km,Ağ,"Offroader / SUV, 5 qapı",2014,Avtomat,Tam,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
BMW,528,33500,AZN,2014,2.0 L,245,Benzin,152 000 km,Boz,Sedan,2014,Avtomat,Arxa,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",,İsmayıllı
Hyundai,Tucson,44000,AZN,2023,1.6 L,230,Hibrid,30 500 km,Boz,"Offroader / SUV, 5 qapı",2023,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Toyota,Camry,16900,AZN,2014,2.5 L,181,Benzin,254 754 km,Ağ,Sedan,2014,Avtomat,Ön,Xeyr,5,0,"Vuruğu var, rənglənməyib",Rəsmi diler,Bakı
Mercedes,Sprinter 315,24000,AZN,2008,2.2 L,150,Dizel,340 000 km,Yaş Asfalt,Furqon,2008,Avtomat,Arxa,Xeyr,3,0,"Vuruğu yoxdur, rənglənməyib",,Bakı
Ssang,Yong Korando,13800,AZN,2014,2.0 L,155,Benzin,178 000 km,Qara,"Offroader / SUV, 5 qapı",2014,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
BYD,Destroyer 05,23900,AZN,2024,1.5 L,290,Plug-in Hibrid,0 km,Ağ,Sedan,2024,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
LADA,(VAZ) 2107,4500,AZN,2002,1.6 L,75,Benzin,82 530 km,Ağ,Sedan,2002,Mexaniki,Arxa,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Toyota,Corolla Cross,33200,AZN,2025,2.0 L,197,Hibrid,0 km,Ağ,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Bəli,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Nissan,X-Trail,35700,AZN,2021,2.0 L,144,Benzin,92 000 km,Ağ,"Offroader / SUV, 5 qapı",2021,Avtomat,Tam,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Hyundai,Elantra,33700,AZN,2025,1.5 L,115,Benzin,0 km,Qara,Sedan,2025,Variator,Ön,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Ford,Fusion (North America),18000,AZN,2015,1.5 L,181,Benzin,241 000 km,Ağ,Sedan,2015,Avtomat,Ön,Xeyr,4,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Nissan,Qashqai,16400,AZN,2013,2.0 L,141,Benzin,210 000 km,Qəhvəyi,"Offroader / SUV, 5 qapı",2013,Variator,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Hyundai,Elantra,17300,AZN,2015,1.8 L,150,Benzin,225 308 km,Yaş Asfalt,Sedan,2015,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
BMW,530,26500,USD,2018,2.0 L,252,Benzin,98 000 km,Gümüşü,Sedan,2018,Avtomat,Arxa,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
